Date,Adj Close,Open,High,Low,Close,Volume,neg_sentiment_cnt,neu_sentiment_cnt,pos_sentiment_cnt,mean_neg_sentiment_prob,mean_neu_sentiment_prob,mean_pos_sentiment_prob
2023-03-06,235.424,238.91,242.48,234.87,235.54,43742900,1.0,0.0,2.0,0.3094946334507161,0.12814717741760737,0.562358200608287
2023-03-07,232.805,236.0,241.25,232.41,232.88,51515400,1.0,1.0,3.0,0.14676033541327344,0.25306384164723567,0.6001758207101375
2023-03-08,241.732,234.87,242.0,234.24,241.81,51357300,1.0,1.0,1.0,0.3328315647571192,0.328479337603009,0.33868912525940686
2023-03-09,234.285,241.75,244.54,233.83,234.36,50125700,0.0,6.0,2.0,0.008206319208511559,0.7092407483705756,0.2825529326460128
2023-03-10,229.576,234.09,236.27,227.26,229.65,47486600,0.0,0.0,2.0,0.0002398601791355759,0.0009331074543297291,0.9988270401954651
2023-03-13,229.586,227.52,232.98,222.97,229.66,42189000,0.0,1.0,3.0,0.007021037945378339,0.24367471202276647,0.7493042321875691
2023-03-14,240.553,234.96,242.19,234.6,240.63,47491000,0.0,1.0,2.0,0.0019816062316143266,0.3382514330830115,0.6597669504311247
2023-03-15,242.202,237.61,242.86,233.6,242.28,52448600,0.0,1.0,2.0,0.06292595022629636,0.27044969250952516,0.6666243892395869
2023-03-16,255.328,240.27,255.88,238.94,255.41,58325300,0.0,3.0,2.0,0.00030005828884895893,0.5902205964724999,0.40947934250798423
2023-03-17,257.168,259.82,263.99,256.68,257.25,84854700,1.0,1.0,3.0,0.19972771174216178,0.20030720880022274,0.5999650508514606
2023-03-20,258.917,256.15,260.24,251.3,259.0,43274700,0.0,0.0,1.0,0.0004968959256075323,0.05667498707771301,0.9428281784057617
2023-03-21,261.906,261.8,263.92,253.81,261.99,54740800,0.0,4.0,5.0,0.015374394670086784,0.4293869569341445,0.5552386519678597
2023-03-22,264.595,264.25,275.89,262.37,264.68,79729500,1.0,2.0,6.0,0.08817271918572563,0.20728158100003688,0.7045457118818175
2023-03-23,271.823,271.15,274.99,266.9,271.91,56488900,0.0,0.0,1.0,0.00027338622021488845,0.0003128132375422865,0.9994137287139893
2023-03-24,267.704,270.31,271.67,263.55,267.79,45492000,0.0,2.0,4.0,0.01652833506159368,0.317278529558583,0.6661931183468065
2023-03-27,265.225,268.37,270.0,263.65,265.31,36102600,0.0,3.0,1.0,0.00023947316367411986,0.7548058908432722,0.24495463170023868
2023-03-28,264.015,264.47,265.13,258.5,264.1,35610400,1.0,1.0,2.0,0.2501327294485236,0.2499634988780599,0.4999038168170955
2023-03-29,269.753,268.25,270.78,265.97,269.84,39369400,1.0,3.0,2.0,0.21692981164111794,0.4616386850987813,0.3214314768544379
2023-03-30,273.742,272.29,274.99,271.02,273.83,36451600,0.0,3.0,1.0,0.00018067239761876408,0.74947125363542,0.25034809940734704
2023-03-31,277.681,271.4,278.34,271.05,277.77,43393300,0.0,3.0,1.0,0.0001682280872046249,0.749687148767407,0.2501446133856007
2023-04-03,279.56,275.09,280.0,273.36,279.65,39871600,0.0,1.0,2.0,0.0001793623353781489,0.33357389807982446,0.6662467832939001
2023-04-04,274.442,279.66,280.0,273.07,274.53,36859200,1.0,2.0,3.0,0.09735490697736775,0.33414133679131436,0.5685037661981672
2023-04-05,268.724,268.29,269.98,263.95,268.81,51501500,2.0,2.0,2.0,0.32874039327604504,0.33438416864980053,0.3368754228091954
2023-04-06,270.283,265.84,270.8,264.27,270.37,39765400,1.0,3.0,0.0,0.34272972607959673,0.6427062656584894,0.014564026620064396
2023-04-10,275.702,268.23,276.21,266.69,275.79,39527900,0.0,0.0,1.0,0.0002277111925650388,0.0019541955552995205,0.997818112373352
2023-04-11,271.603,277.24,277.9,271.26,271.69,31437800,0.0,3.0,2.0,0.001857094999286346,0.5994464138377225,0.3986965090240119
2023-04-12,264.865,273.7,274.68,264.48,264.95,44625900,1.0,2.0,2.0,0.1978586524259299,0.4782075583934784,0.3239337474806234
2023-04-13,264.545,267.34,268.87,263.29,264.63,35361500,0.0,2.0,3.0,0.07557397192867939,0.3230395301186945,0.6013865111162886
2023-04-14,267.494,265.04,268.83,262.2,267.58,39566000,0.0,2.0,2.0,0.0001395015069647343,0.5000164419743669,0.49984407957344956
2023-04-17,269.933,265.65,270.06,264.33,270.02,32147100,0.0,1.0,1.0,0.00023477196373278275,0.5009137435117736,0.4988514447613852
2023-04-18,276.581,275.33,281.1,273.57,276.67,60481200,1.0,4.0,3.0,0.16062692479044927,0.4666861270206937,0.372686980299477
2023-04-19,279.22,273.61,280.0,272.32,279.31,35866000,0.0,2.0,3.0,0.00018556076392997056,0.4001512537957751,0.5996631673500815
2023-04-20,270.953,276.71,280.3,270.0,271.04,42771300,0.0,1.0,3.0,0.01617725415417226,0.23409129450374166,0.7497314247593749
2023-04-21,271.103,269.52,271.83,267.22,271.19,34510300,0.0,0.0,1.0,0.00019504668307490647,0.0001358936569886282,0.999669075012207
2023-04-24,270.333,270.13,273.66,266.71,270.42,33928200,1.0,1.0,1.0,0.3321637239738872,0.339036851345251,0.328799379443808
2023-04-25,262.326,270.78,272.47,262.25,262.41,37852700,1.0,1.0,4.0,0.19191433601978738,0.1695551881324112,0.6385304610982226
2023-04-26,269.474,270.02,273.3,267.05,269.56,40633700,1.0,1.0,0.0,0.49837537136045285,0.49789765135210473,0.0037269596941769123
2023-04-27,272.173,273.63,274.95,266.25,272.26,37716100,1.0,0.0,3.0,0.2362678235367639,0.02963710465701297,0.734095087274909
2023-04-28,277.401,272.25,277.58,270.71,277.49,29168700,1.0,2.0,2.0,0.20327874042268376,0.39157476320979184,0.40514650454279033
2023-05-01,289.007,278.4,290.58,277.8,289.1,57032900,1.0,1.0,2.0,0.2490635212889174,0.25207271472754655,0.49886378918017726
2023-05-02,282.01,286.8,288.36,280.83,282.1,40273000,0.0,1.0,4.0,0.000332545445417054,0.20033604517229833,0.7993314311373979
2023-05-03,277.931,278.4,283.67,274.72,278.02,38338700,2.0,3.0,2.0,0.2887415003902528,0.4298289335815103,0.2814295774681211
2023-05-04,275.532,276.51,278.59,272.4,275.62,32185000,0.0,3.0,0.0,0.026617347255523782,0.9244102636973063,0.04897242376803964
2023-05-05,286.708,278.26,287.55,277.31,286.8,36101400,2.0,1.0,1.0,0.4907230352255283,0.2574457649316173,0.25183118910354096
2023-05-08,291.417,285.22,292.2,283.5,291.51,34497900,0.0,1.0,1.0,0.0010100662475451827,0.49885359347535996,0.5001363467890769
2023-05-09,285.618,288.99,289.73,284.5,285.71,31486900,0.0,2.0,4.0,0.007470966197918945,0.3336444410815602,0.6588846076150124
2023-05-10,288.757,290.05,291.13,284.61,288.85,36935000,0.0,1.0,3.0,0.00025176245981128886,0.25015740311937407,0.7495908563869307
2023-05-11,285.688,288.96,289.5,282.46,285.78,32214900,1.0,3.0,4.0,0.12477135828612518,0.3754176570546406,0.49981099777050986
