Date,Adj Close,Open,High,Low,Close,Volume
2022-11-10,145.867,141.24,146.87,139.5,146.87,118854000
2022-11-11,148.678,145.82,150.01,144.37,149.7,93979700
2022-11-14,147.268,148.97,150.28,147.43,148.28,73374100
2022-11-15,149.016,152.22,153.59,148.56,150.04,89868300
2022-11-16,147.774,149.13,149.87,147.29,148.79,64218300
2022-11-17,149.691,146.43,151.48,146.15,150.72,80389400
2022-11-18,150.257,152.31,152.7,149.97,151.29,74829600
2022-11-21,147.0,150.16,150.37,147.72,148.01,58724100
2022-11-22,149.155,148.13,150.42,146.93,150.18,51804100
2022-11-23,150.039,149.45,151.83,149.34,151.07,58301400
2022-11-25,147.099,148.31,148.88,147.12,148.11,35195900
2022-11-28,143.236,145.14,146.64,143.38,144.22,69246000
2022-11-29,140.206,144.29,144.81,140.35,141.17,83763800
2022-11-30,147.02,141.4,148.72,140.55,148.03,111380900
2022-12-01,147.298,148.21,149.13,146.61,148.31,71250400
2022-12-02,146.801,145.96,148.0,145.65,147.81,65447400
2022-12-05,145.629,147.77,150.92,145.77,146.63,68826400
2022-12-06,141.935,147.07,147.3,141.92,142.91,64727200
2022-12-07,139.978,142.19,143.37,140.0,140.94,69721100
2022-12-08,141.676,142.36,143.52,141.1,142.65,62128300
2022-12-09,141.19,142.34,145.57,140.9,142.16,76097000
2022-12-12,143.504,142.7,144.5,141.06,144.49,70462700
2022-12-13,144.477,149.5,149.97,144.24,145.47,93886200
2022-12-14,142.232,145.35,146.66,141.16,143.21,82291200
2022-12-15,135.568,141.11,141.8,136.03,136.5,98931900
2022-12-16,133.592,136.69,137.65,133.73,134.51,160156900
2022-12-19,131.466,135.11,135.2,131.32,132.37,79592600
2022-12-20,131.397,131.39,133.25,129.89,132.3,77432800
2022-12-21,134.525,132.98,136.81,132.75,135.45,85928000
2022-12-22,131.327,134.35,134.56,130.3,132.23,77852100
2022-12-23,130.96,130.92,132.42,129.64,131.86,63814900
2022-12-27,129.142,131.38,131.41,128.72,130.03,69007800
2022-12-28,125.18,129.67,131.03,125.87,126.04,85438400
2022-12-29,128.725,127.99,130.48,127.73,129.61,75703700
2022-12-30,129.043,128.41,129.95,127.43,129.93,77034200
2023-01-03,124.216,130.28,130.9,124.17,125.07,112117500
2023-01-04,125.498,126.89,128.66,125.08,126.36,89113600
2023-01-05,124.167,127.13,127.77,124.76,125.02,80962700
2023-01-06,128.735,126.01,130.29,124.89,129.62,87754700
2023-01-09,129.262,130.47,133.41,129.89,130.15,70790800
2023-01-10,129.838,130.26,131.26,128.12,130.73,63896200
2023-01-11,132.579,131.25,133.51,130.46,133.49,69458900
2023-01-12,132.499,133.88,134.26,131.44,133.41,71379600
2023-01-13,133.84,132.03,134.92,131.66,134.76,57809700
2023-01-17,135.012,134.83,137.29,134.13,135.94,63646600
2023-01-18,134.287,136.82,138.61,135.03,135.21,69672800
2023-01-19,134.347,134.08,136.25,133.77,135.27,58280400
2023-01-20,136.929,135.28,138.02,134.22,137.87,80223600
2023-01-23,140.147,138.12,143.32,137.9,141.11,81760300
2023-01-24,141.557,140.31,143.16,140.3,142.53,66435100
2023-01-25,140.892,140.89,142.43,138.81,141.86,65799300
2023-01-26,142.977,143.17,144.25,141.9,143.96,54105100
2023-01-27,144.934,143.16,147.23,143.08,145.93,70555800
2023-01-30,142.024,144.96,145.55,142.85,143.0,64015300
2023-01-31,143.305,142.7,144.34,142.28,144.29,65874500
2023-02-01,144.437,143.97,146.61,141.32,145.43,77663600
2023-02-02,149.791,148.9,151.18,148.17,150.82,118339000
2023-02-03,153.445,148.03,157.38,147.83,154.5,154357300
2023-02-06,150.694,152.57,153.1,150.78,151.73,69858300
2023-02-07,153.594,150.64,155.23,150.64,154.65,83322600
2023-02-08,150.883,153.88,154.58,151.17,151.92,64120100
2023-02-09,149.84,153.78,154.33,150.42,150.87,56007100
2023-02-10,150.208,149.46,151.34,149.22,151.01,57450700
2023-02-13,153.033,150.95,154.26,150.92,153.85,62199000
2023-02-14,152.387,152.12,153.77,150.86,153.2,61707600
2023-02-15,154.505,153.11,155.5,152.88,155.33,65573800
2023-02-16,152.894,153.51,156.33,153.35,153.71,68167900
2023-02-17,151.74,152.35,153.0,150.85,152.55,59144100
2023-02-21,147.692,150.2,151.3,148.41,148.48,58867200
2023-02-22,148.119,148.87,149.95,147.16,148.91,51011300
2023-02-23,148.607,150.09,150.34,147.24,149.4,48394200
2023-02-24,145.931,147.11,147.19,145.72,146.71,55469600
