title,description,published date,url,publisher
Apple Stock: The Growth Story Goes On (NASDAQ:AAPL) - Seeking Alpha,Apple Stock: The Growth Story Goes On (NASDAQ:AAPL)  Seeking Alpha,2022-01-12,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0NzkxOTktYXBwbGUtZ3Jvd3RoLXN0b3J5LWdvZXMtb27SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}"
Microsoft Hires Key Apple Engineer to Work on Custom Chips - Bloomberg,Microsoft Hires Key Apple Engineer to Work on Custom Chips  Bloomberg,2022-01-12,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTAxLTEyL21pY3Jvc29mdC1yZWNydWl0cy1rZXktYXBwbGUtZW5naW5lZXItdG8td29yay1vbi1jdXN0b20tY2hpcHPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}"
Apple's Tim Cook made $98M in 2021 - how that compares to other tech CEOs - Yahoo Finance,Apple's Tim Cook made $98M in 2021 - how that compares to other tech CEOs  Yahoo Finance,2022-01-11,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS10aW0tY29vay1jb21wZW5zYXRpb24tb3RoZXItdGVjaC1jZW9zLTE2NTUyMTExMi5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
"EXCLUSIVE: Unusual Whales Creates 'Nancy Pelosi ETF' So You Can Track Her Trades - Apple (NASDAQ:AAPL), A - Benzinga","EXCLUSIVE: Unusual Whales Creates 'Nancy Pelosi ETF' So You Can Track Her Trades - Apple (NASDAQ:AAPL), A  Benzinga",2022-01-12,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9uZXdzLzIyLzAxLzI1MDE1NTk2L2V4Y2x1c2l2ZS11bnVzdWFsLXdoYWxlcy1jcmVhdGVzLW5hbmN5LXBlbG9zaS1ldGYtc28teW91LWNhbi10cmFjay1oZXItdHJhZGVz0gEtaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50LzI1MDE1NTk2?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}"
OS X El Capitan - AppleInsider,OS X El Capitan  AppleInsider,2022-01-12,https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vYXBwbGVpbnNpZGVyLmNvbS9pbnNpZGUvb3MteC1lbC1jYXBpdGFu0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
"Apple gains market share, as Macs grow twice the rate of PCs in Q4 (NASDAQ:AAPL) - Seeking Alpha","Apple gains market share, as Macs grow twice the rate of PCs in Q4 (NASDAQ:AAPL)  Seeking Alpha",2022-01-12,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM3ODc1ODEtYXBwbGUtZ2FpbnMtbWFya2V0LXNoYXJlLWFzLW1hY3MtZ3Jvdy10d2ljZS10aGUtcmF0ZS1vZi1wY3MtaW4tcTTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}"
iPhone 6s - AppleInsider,iPhone 6s  AppleInsider,2022-01-12,https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vYXBwbGVpbnNpZGVyLmNvbS9pbnNpZGUvaXBob25lLTZz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
iPad Pro with 12-inch Retina display - AppleInsider,iPad Pro with 12-inch Retina display  AppleInsider,2022-01-12,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vYXBwbGVpbnNpZGVyLmNvbS9pbnNpZGUvaXBhZC1wcm8td2l0aC0xMi1pbmNoLXJldGluYS1kaXNwbGF50gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
2017 iMac - AppleInsider,2017 iMac  AppleInsider,2022-01-12,https://news.google.com/rss/articles/CBMiKWh0dHBzOi8vYXBwbGVpbnNpZGVyLmNvbS9pbnNpZGUvMjAxNy1pbWFj0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://appleinsider.com', 'title': 'AppleInsider'}"
Apple Stock: The Growth Story Goes On (NASDAQ:AAPL) - Seeking Alpha,Apple Stock: The Growth Story Goes On (NASDAQ:AAPL)  Seeking Alpha,2022-01-12,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9hcnRpY2xlLzQ0NzkxOTktYXBwbGUtZ3Jvd3RoLXN0b3J5LWdvZXMtb27SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://seekingalpha.com', 'title': 'Seeking Alpha'}"
Microsoft Hires Key Apple Engineer to Work on Custom Chips - Bloomberg,Microsoft Hires Key Apple Engineer to Work on Custom Chips  Bloomberg,2022-01-12,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTAxLTEyL21pY3Jvc29mdC1yZWNydWl0cy1rZXktYXBwbGUtZW5naW5lZXItdG8td29yay1vbi1jdXN0b20tY2hpcHPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}"
Apple Stock: Analyst Sizes AR Glasses Business - Investor's Business Daily,Apple Stock: Analyst Sizes AR Glasses Business  Investor's Business Daily,2022-01-13,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2FwcGxlLXN0b2NrLWFuYWx5c3Qtc2l6ZXMtYXItZ2xhc3Nlcy1idXNpbmVzcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}"
Avoid This Options Newbie's Catastrophic Mistake - Banyan Hill Publishing,Avoid This Options Newbie's Catastrophic Mistake  Banyan Hill Publishing,2022-01-13,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vYmFueWFuaGlsbC5jb20vYXZvaWQtb3B0aW9ucy1uZXdiaWVzLW1pc3Rha2Uv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://banyanhill.com', 'title': 'Banyan Hill Publishing'}"
